optimisation,block_size,elapsed_median,elapsed_mean,elapsed_std,speedup_median,speedup_mean,speedup_std,relative_difference_median,relative_difference_mean
cache_blocked_1,8,0.45682495998335065,0.45699027549126175,0.0020241239535625753,13.425027610913318,14.767162288811775,2.138227520403679,2.1218289734151535e-16,2.1218289734151533e-16
cache_blocked_1,12,0.4174511329911183,0.41750549870776005,0.0002961292417535525,14.749030369360586,16.163884110823226,2.340114187772014,2.571913907169883e-16,2.571913907169883e-16
cache_blocked_1,16,0.4021752019762061,0.40242524149361997,0.0006691557216707986,15.301316008468882,16.768703597656984,2.4201178289052296,2.5719139071698833e-17,2.5719139071698833e-17
cache_blocked_1,24,0.3870663010166026,0.38706499810796224,0.00013958831217064137,15.900425438761125,17.43507964995943,2.524352502037087,6.429784767924708e-18,6.429784767924708e-18
cache_blocked_1,32,0.3756751969922334,0.37570939100114625,0.00025397171478168244,16.3754836655626,17.963283798084944,2.6106735705587254,5.786806291132238e-17,5.786806291132238e-17
cache_blocked_1,40,0.37356719802482985,0.3735479843977373,7.681049742070764e-05,16.46962225335505,18.06658560558584,2.6208535262046264,3.857870860754825e-17,3.857870860754825e-17
cache_blocked_1,48,0.37100665000616573,0.37090317220427094,0.0010225223147661837,16.53012289247361,18.199389677249066,2.6720077878645334,2.1218289734151535e-16,2.1218289734151533e-16
cache_blocked_1,64,0.37393262449768366,0.3740377011999953,0.00028535417596176483,16.454739850310624,18.04324759689959,2.6198334720799963,1.1573612582264473e-16,1.1573612582264473e-16
cache_blocked_1,80,0.4003460634849034,0.4013453309889883,0.0031283321721254907,15.367200902323098,16.810874049628453,2.403243490065043,3.214892383962354e-17,3.214892383962354e-17
cache_blocked_1,96,0.4000514819927048,0.40028528090333565,0.0006722600540505634,15.38357718811751,16.858235869431397,2.433379680682727,7.71574172150965e-17,7.71574172150965e-17
cache_blocked_1,128,0.39048956049373373,0.390711214300245,0.0006969089221741391,15.759222595679294,17.27144276865158,2.4939865921134863,3.214892383962354e-17,3.214892383962354e-17
