tag,n,elapsed_median,elapsed_mean,elapsed_error
upper_triangle,100,3.96020041080191731453e-05,3.90713345647479074461e-05,1.54533832295402437254e-06
upper_triangle,500,0.00474236400623340159655,0.00473737833090126514435,1.7242457923482179034e-05
upper_triangle,1000,0.0533192360016983002424,0.0533244583348277956247,9.64795285464388741568e-06
upper_triangle,1500,0.184158641000976786017,0.184222060668010584328,0.000493196315973116919222
upper_triangle,2000,0.430764846998499706388,0.430620147332471503443,0.000960889414745262800122
upper_triangle,2500,0.825344257013057358563,0.825803572670944618928,0.00120437298069392059729
upper_triangle,3000,1.42959041900758165866,1.43084150300031365255,0.00221694841276880334757
upper_triangle,3500,2.38842506099899765104,2.38788565599437196951,0.0101020944254757195913
upper_triangle,4000,3.90300692198798060417,3.90273321766774961006,0.00421543689417789007451
upper_triangle,4500,6.19587025999499019235,6.29668620333541184664,0.143265954750711049792
upper_triangle,5000,10.0675040939968312159,10.0611098786660786431,0.0245817031635397961753
