tag,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
cache_blocked_1,100,0,9.69849934335798025131e-05,unavailable,unavailable,unavailable
cache_blocked_1,100,1,0.000287404007394798099995,unavailable,unavailable,unavailable
cache_blocked_1,100,2,0.000116626004455611109734,unavailable,unavailable,unavailable
cache_blocked_1,500,0,0.0128421849949518218637,unavailable,unavailable,unavailable
cache_blocked_1,500,1,0.0127660480065969750285,unavailable,unavailable,unavailable
cache_blocked_1,500,2,0.0126050749968271702528,unavailable,unavailable,unavailable
cache_blocked_1,1000,0,0.101597112996387295425,unavailable,unavailable,unavailable
cache_blocked_1,1000,1,0.101421791987377218902,unavailable,unavailable,unavailable
cache_blocked_1,1000,2,0.101717680008732713759,unavailable,unavailable,unavailable
cache_blocked_1,1500,0,0.341487402998609468341,unavailable,unavailable,unavailable
cache_blocked_1,1500,1,0.341329243994550779462,unavailable,unavailable,unavailable
cache_blocked_1,1500,2,0.34167247900040820241,unavailable,unavailable,unavailable
cache_blocked_1,2000,0,0.80787018599221482873,unavailable,unavailable,unavailable
cache_blocked_1,2000,1,0.807825003998004831374,unavailable,unavailable,unavailable
cache_blocked_1,2000,2,0.807900408995919860899,unavailable,unavailable,unavailable
cache_blocked_1,2500,0,1.57587374698778148741,unavailable,unavailable,unavailable
cache_blocked_1,2500,1,1.57607761200051754713,unavailable,unavailable,unavailable
cache_blocked_1,2500,2,1.57554701599292457104,unavailable,unavailable,unavailable
cache_blocked_1,3000,0,2.72227033598755951971,unavailable,unavailable,unavailable
cache_blocked_1,3000,1,2.72791378600231837481,unavailable,unavailable,unavailable
cache_blocked_1,3000,2,2.72197816900734324008,unavailable,unavailable,unavailable
cache_blocked_1,3500,0,4.323957977001555264,unavailable,unavailable,unavailable
cache_blocked_1,3500,1,4.32800812499772291631,unavailable,unavailable,unavailable
cache_blocked_1,3500,2,4.32299192101345397532,unavailable,unavailable,unavailable
cache_blocked_1,4000,0,6.45944905700162053108,unavailable,unavailable,unavailable
cache_blocked_1,4000,1,6.46185792400501668453,unavailable,unavailable,unavailable
cache_blocked_1,4000,2,6.46159857699240092188,unavailable,unavailable,unavailable
cache_blocked_1,4500,0,9.20310995398904196918,unavailable,unavailable,unavailable
cache_blocked_1,4500,1,9.19907064999279100448,unavailable,unavailable,unavailable
cache_blocked_1,4500,2,9.18610849499236792326,unavailable,unavailable,unavailable
cache_blocked_1,5000,0,12.6309320970030967146,unavailable,unavailable,unavailable
cache_blocked_1,5000,1,12.6127456639951560646,unavailable,unavailable,unavailable
cache_blocked_1,5000,2,12.6299621439975453541,unavailable,unavailable,unavailable
