tag,n,elapsed_median,elapsed_mean,elapsed_error
lower_triangle,100,6.21250073891133069992e-05,6.69693351179982270275e-05,8.96633158806960731135e-06
lower_triangle,500,0.00866232399130240082741,0.0086672096610224489549,2.02773579840323940116e-05
lower_triangle,1000,0.0699449289968470111489,0.069945926331759736283,2.66328487915948727762e-05
lower_triangle,1500,0.272620379008003510535,0.272674661668133921921,0.000222140318230493047846
lower_triangle,2000,0.896597147002466954291,0.896676888335302124666,0.00018571531837951541226
lower_triangle,2500,1.36368469499575439841,1.36368319233103352239,0.000249811023473423790726
lower_triangle,3000,2.34817573799227830023,2.34803322532873925965,0.00144926352314410605664
lower_triangle,3500,3.78168517700396478176,3.78661411533539649099,0.0078141085860806997615
lower_triangle,4000,9.96206163500028196722,9.95656257066972649739,0.00801315917063893067007
lower_triangle,4500,9.34757604000333230942,9.35463890900427941233,0.0185877551310910174576
lower_triangle,5000,13.7269961660058470443,13.7315445920054717277,0.0188047571919885483926
