method,n,block_size,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
cholesky_blocked_tile_kernels,1000,1,0,0.484697061998303979635,,,
cholesky_blocked_tile_kernels,1000,1,1,0.488722209003753960133,,,
cholesky_blocked_tile_kernels,1000,1,2,0.488824581989319995046,,,
cholesky_blocked_tile_kernels,1000,1,3,0.487997688003815710545,,,
cholesky_blocked_tile_kernels,1000,1,4,0.489746772014768794179,,,
cholesky_blocked_tile_kernels,1000,2,0,0.199297747982200235128,,,
cholesky_blocked_tile_kernels,1000,2,1,0.19605688401497900486,,,
cholesky_blocked_tile_kernels,1000,2,2,0.198896149988286197186,,,
cholesky_blocked_tile_kernels,1000,2,3,0.197137946001021191478,,,
cholesky_blocked_tile_kernels,1000,2,4,0.196720039006322622299,,,
cholesky_blocked_tile_kernels,1000,3,0,0.14723522801068611443,,,
cholesky_blocked_tile_kernels,1000,3,1,0.147534251998877152801,,,
cholesky_blocked_tile_kernels,1000,3,2,0.147330739011522382498,,,
cholesky_blocked_tile_kernels,1000,3,3,0.147365420009009540081,,,
cholesky_blocked_tile_kernels,1000,3,4,0.147800064005423337221,,,
cholesky_blocked_tile_kernels,1000,4,0,0.131448912987252697349,,,
cholesky_blocked_tile_kernels,1000,4,1,0.131160552002256736159,,,
cholesky_blocked_tile_kernels,1000,4,2,0.132108098012395203114,,,
cholesky_blocked_tile_kernels,1000,4,3,0.132626790000358596444,,,
cholesky_blocked_tile_kernels,1000,4,4,0.132771800999762490392,,,
cholesky_blocked_tile_kernels,1000,5,0,0.123300531995482742786,,,
cholesky_blocked_tile_kernels,1000,5,1,0.123571804986568167806,,,
cholesky_blocked_tile_kernels,1000,5,2,0.123781496979063376784,,,
cholesky_blocked_tile_kernels,1000,5,3,0.123991746979299932718,,,
cholesky_blocked_tile_kernels,1000,5,4,0.122922776004998013377,,,
cholesky_blocked_tile_kernels,1000,6,0,0.121022731007542461157,,,
cholesky_blocked_tile_kernels,1000,6,1,0.119661164993885904551,,,
cholesky_blocked_tile_kernels,1000,6,2,0.119808688003104180098,,,
cholesky_blocked_tile_kernels,1000,6,3,0.119850876013515517116,,,
cholesky_blocked_tile_kernels,1000,6,4,0.119857005018275231123,,,
cholesky_blocked_tile_kernels,1000,7,0,0.118832666979869827628,,,
cholesky_blocked_tile_kernels,1000,7,1,0.118837073008762672544,,,
