method,n,block_size,elapsed_median,elapsed_mean,elapsed_error
cholesky_blocked_tile_kernels,2000,1,3.9853206774860155,3.996411352796713,0.05928614876226964
cholesky_blocked_tile_kernels,2000,2,1.6102958804985974,1.6159836078004446,0.030573500476445598
cholesky_blocked_tile_kernels,2000,3,1.2002609849732835,1.1917452992929611,0.021872978492002138
cholesky_blocked_tile_kernels,2000,4,1.071739721490303,1.070926905592205,0.011827849559230403
cholesky_blocked_tile_kernels,2000,5,0.975841710489476,0.9837927248969208,0.01887721954890704
cholesky_blocked_tile_kernels,2000,6,0.9585602650186046,0.9594629195984453,0.009256874577282685
cholesky_blocked_tile_kernels,2000,7,0.9526590305031276,0.9508148039982188,0.0113580990137861
cholesky_blocked_tile_kernels,2000,8,0.9194640110072214,0.9118328390060924,0.01854679744870837
cholesky_blocked_tile_kernels,2000,9,0.9025568075012415,0.905847964406712,0.012930065964151152
cholesky_blocked_tile_kernels,2000,10,0.8702827399829403,0.8731559909996577,0.014491691489014242
cholesky_blocked_tile_kernels,2000,11,0.8502215705229901,0.854228832910303,0.00870119004676718
cholesky_blocked_tile_kernels,2000,12,0.8334578885114751,0.8333810467098374,0.003030747336476481
cholesky_blocked_tile_kernels,2000,13,0.8251161930093076,0.8244491982099135,0.0030161244962747277
cholesky_blocked_tile_kernels,2000,14,0.8185046704893466,0.8179270058986731,0.0027525005328815147
cholesky_blocked_tile_kernels,2000,15,0.8503645395103376,0.8502198001020588,0.0022307959299591403
cholesky_blocked_tile_kernels,2000,16,0.840601992997108,0.8405313604045659,0.002188710884890041
cholesky_blocked_tile_kernels,2000,17,0.8311260160116944,0.8296004715957679,0.004028771199307535
cholesky_blocked_tile_kernels,2000,18,0.8273913169978186,0.8275502055010293,0.001414955243309742
cholesky_blocked_tile_kernels,2000,19,0.8209742709877901,0.8183257199008949,0.00572620762298155
cholesky_blocked_tile_kernels,2000,20,0.8099395110330079,0.809420697618043,0.0017231364502825126
cholesky_blocked_tile_kernels,2000,21,0.8067368545162026,0.804272715211846,0.0057191870110942546
cholesky_blocked_tile_kernels,2000,22,0.8021263264818117,0.8008984235930257,0.003262810326261361
cholesky_blocked_tile_kernels,2000,23,0.797649664018536,0.7975601601006927,0.003264400775735827
cholesky_blocked_tile_kernels,2000,24,0.7930181580013596,0.7915636787947733,0.0035667765520899174
cholesky_blocked_tile_kernels,2000,25,0.7907969019724987,0.7888525414047762,0.004472512755544329
cholesky_blocked_tile_kernels,2000,26,0.7878808839886914,0.786478481692029,0.004748031229995573
cholesky_blocked_tile_kernels,2000,27,0.7870444539876189,0.7852981640957296,0.004840981679515716
