tag,n,repeat,elapsed_seconds,logdet,time_over_n3
baseline,512,0,0.29488516703713685,2839.0511726459449,2.1970657038475339e-09
baseline,1024,0,3.0216420840006322,6387.0451240420853,2.8141234852379488e-09
baseline,2000,0,4.4026514160213992,13813.50156743731,5.5033142700267493e-10
baseline,4096,0,223.32911625003908,31228.501160494579,3.2498663676966546e-09
openmp1,512,0,0.017721374984830618,2839.0511726459449,1.320345326127903e-10
openmp1,1024,0,0.041342958924360573,6387.0451240420853,3.8503630947657463e-11
openmp1,2000,0,0.20707333309110254,13813.50156743731,2.5884166636387817e-11
openmp1,4096,0,1.9936209170846269,31228.501160494579,2.901100258291447e-11
openmp2,512,0,0.031236291979439557,2839.0511726459449,2.3272851094185976e-10
openmp2,1024,0,0.068940833094529808,6387.0451240420853,6.4206154173733487e-11
openmp2,2000,0,0.24800891592167318,13813.50156743731,3.1001114490209144e-11
openmp2,4096,0,2.2612033750629053,31228.501160494579,3.2904839828012413e-11
openmp3,512,0,0.0070213750004768372,2839.0511726459449,5.2313320342278757e-11
openmp3,1024,0,0.037902207928709686,6387.0451240420853,3.5299181871777108e-11
openmp3,2000,0,0.16663712507579476,13813.50156743731,2.0829640634474345e-11
openmp3,4096,0,2.9279199589509517,31228.501160494576,4.2606843038097602e-11
openmp4,512,0,0.018548083025962114,2839.0511726459449,1.3819398750336553e-10
openmp4,1024,0,0.052251292043365538,6387.0451240420853,4.866280783281246e-11
openmp4,2000,0,0.20155158301349729,13813.50156743731,2.5193947876687162e-11
openmp4,4096,0,2.9963510829256848,31228.501160494576,4.360264695315978e-11
