method,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
openmp_row_parallel_unblocked,1000,0,0.242740096997295040637,,,,
openmp_row_parallel_unblocked,1000,1,0.0322456829962902702391,,,,
openmp_row_parallel_unblocked,1000,2,0.0322840560038457624614,,,,
openmp_row_parallel_unblocked,1000,3,0.0323171199997887015343,,,,
openmp_row_parallel_unblocked,1000,4,0.0320594700024230405688,,,,
openmp_row_parallel_unblocked,1000,5,0.0323411269928328692913,,,,
openmp_row_parallel_unblocked,1000,6,0.032282095999107696116,,,,
openmp_row_parallel_unblocked,1000,7,0.0320583070060820318758,,,,
openmp_row_parallel_unblocked,1000,8,0.0321343210016493685544,,,,
openmp_row_parallel_unblocked,1000,9,0.0319579270071699284017,,,,
openmp_tile_parallel_blocked,1000,0,0.0107436230027815327048,,,,
openmp_tile_parallel_blocked,1000,1,0.0115647399943554773927,,,,
openmp_tile_parallel_blocked,1000,2,0.0112500190007267519832,,,,
openmp_tile_parallel_blocked,1000,3,0.011371673994290176779,,,,
openmp_tile_parallel_blocked,1000,4,0.011164991999976336956,,,,
openmp_tile_parallel_blocked,1000,5,0.0114446340012364089489,,,,
openmp_tile_parallel_blocked,1000,6,0.0108234180006547830999,,,,
openmp_tile_parallel_blocked,1000,7,0.0115727450029226019979,,,,
openmp_tile_parallel_blocked,1000,8,0.0105054520026897080243,,,,
openmp_tile_parallel_blocked,1000,9,0.0112412390008103102446,,,,
openmp_block_row_parallel,1000,0,0.0359128449999843724072,,,,
openmp_block_row_parallel,1000,1,0.0355409159965347498655,,,,
openmp_block_row_parallel,1000,2,0.0356883790009305812418,,,,
openmp_block_row_parallel,1000,3,0.0353268470062175765634,,,,
openmp_block_row_parallel,1000,4,0.0353315669999574311078,,,,
openmp_block_row_parallel,1000,5,0.0353527560000657103956,,,,
openmp_block_row_parallel,1000,6,0.0353047550015617161989,,,,
openmp_block_row_parallel,1000,7,0.0356927120010368525982,,,,
openmp_block_row_parallel,1000,8,0.0353550610016100108624,,,,
openmp_block_row_parallel,1000,9,0.0354956420051166787744,,,,
openmp_tile_list_parallel,1000,0,0.0482381490000989288092,,,,
openmp_tile_list_parallel,1000,1,0.0485658410034375265241,,,,
openmp_tile_list_parallel,1000,2,0.0487907930000801570714,,,,
openmp_tile_list_parallel,1000,3,0.0490854079980636015534,,,,
openmp_tile_list_parallel,1000,4,0.0477459690009709447622,,,,
openmp_tile_list_parallel,1000,5,0.0508002279966603964567,,,,
openmp_tile_list_parallel,1000,6,0.048289452999597415328,,,,
openmp_tile_list_parallel,1000,7,0.0485124219994759187102,,,,
openmp_tile_list_parallel,1000,8,0.051959364995127543807,,,,
openmp_tile_list_parallel,1000,9,0.0494018469980801455677,,,,
openmp_task_dag_blocked,1000,0,0.0130231010043644346297,,,,
openmp_task_dag_blocked,1000,1,0.0125070639987825416028,,,,
openmp_task_dag_blocked,1000,2,0.0128940139984479174018,,,,
openmp_task_dag_blocked,1000,3,0.0119268150010611861944,,,,
openmp_task_dag_blocked,1000,4,0.011803800000052433461,,,,
openmp_task_dag_blocked,1000,5,0.0121470340018277056515,,,,
openmp_task_dag_blocked,1000,6,0.0121105229991371743381,,,,
openmp_task_dag_blocked,1000,7,0.0124101130058988928795,,,,
openmp_task_dag_blocked,1000,8,0.0121800909982994198799,,,,
openmp_task_dag_blocked,1000,9,0.0129506390003371052444,,,,
