tag,n,elapsed_median,elapsed_mean,elapsed_error
cache_blocked_2,1000,0.02446670806966722,0.02446670806966722,0
cache_blocked_2,2000,0.18747595802415162,0.18747595802415162,0
cache_blocked_2,3000,0.64040854200720787,0.64040854200720787,0
cache_blocked_2,4000,1.6582855420419946,1.6582855420419946,0
cache_blocked_2,5000,3.3296115420525894,3.3296115420525894,0
cache_blocked_2,6000,5.424784415983595,5.424784415983595,0
cache_blocked_2,7000,10.118017749977298,10.118017749977298,0
cache_blocked_2,8000,14.202527457964607,14.202527457964607,0
cache_blocked_2,9000,19.542190208099782,19.542190208099782,0
cache_blocked_2,10000,24.261742000002414,24.261742000002414,0
cache_blocked_2,11000,35.380687917000614,35.380687917000614,0
cache_blocked_2,12000,46.017342584091239,46.017342584091239,0
cache_blocked_2,13000,54.718220292008482,54.718220292008482,0
