optimisation,n,block_size,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
cache_blocked_2,2000,1,0,5.76037094905041158199,0.854115152014776501943,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,1,1,5.72155507002025842667,0.858506701216991463532,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,1,2,5.75045376596972346306,0.857973887265674806102,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,1,3,5.6791044620331376791,0.874457778886529757401,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,1,4,5.71704392600804567337,0.861896660702557104727,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,1,5,5.74190488597378134727,0.863952264202266673188,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,1,6,5.71843573497608304024,0.865084640515396685601,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,1,7,5.73930583917535841465,0.864288190754454621612,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,1,8,5.72290662210434675217,0.876670220990415360873,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,1,9,5.70892212213948369026,0.868606413416905809299,13813.5015674373143577,13813.5015674373143666,6.42978476792470805364e-17
cache_blocked_2,2000,2,0,1.79322101990692317486,2.74367746875121243377,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,2,1,1.79037379194051027298,2.74355745772537451543,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,2,2,1.77957060816697776318,2.77243237693867783378,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,2,3,1.77551851398311555386,2.79700664049583869186,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,2,4,1.77745446213521063328,2.77222352183182829677,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,2,5,1.76659126812592148781,2.8080811994127374831,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,2,6,1.74840038502588868141,2.82940393085587960087,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,2,7,1.75939744408242404461,2.81938244062548637459,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,2,8,1.76873364206403493881,2.83655022655247845975,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,2,9,1.77263364079408347607,2.79742314196780084146,13813.5015674373143577,13813.501567437314387,2.12182897341515365768e-16
cache_blocked_2,2000,3,0,1.27971707703545689583,3.84461549908142430354,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,3,1,1.27394350199028849602,3.85573878380039003488,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,3,2,1.29593966109678149223,3.80707475759716595931,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,3,3,1.2706845251377671957,3.90823762758553394647,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,3,4,1.29426325112581253052,3.80718610733171480831,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,3,5,1.27508829394355416298,3.89050056426187307324,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,3,6,1.27670045988634228706,3.87477805290567633989,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,3,7,1.25952207809314131737,3.93833053521156761789,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,3,8,1.28593708784319460392,3.9015142035622720762,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,3,9,1.27171665593050420284,3.89930126798543108535,13813.5015674373143577,13813.5015674373143648,5.14382781433976644303e-17
cache_blocked_2,2000,4,0,0.713550669141113758087,6.895123670379037506,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,4,1,0.715763785876333713531,6.86258995763598989015,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,4,2,0.71450441400520503521,6.90512063245929930133,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,4,3,0.692806341918185353279,7.16814609431005678175,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,4,4,0.711550706997513771057,6.92501745899240450655,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,4,5,0.70761804608628153801,7.01046525665660169579,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,4,6,0.709289873018860816956,6.97448407242470036493,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,4,7,0.719106920063495635986,6.8980204772460727014,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,4,8,0.71448353608138859272,7.02199779245328681299,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,4,9,0.719488302012905478477,6.89212924673660776165,13813.5015674373143577,13813.5015674373143604,1.92893543037741241606e-17
cache_blocked_2,2000,5,0,0.669110254151746630669,7.35307832794606941462,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,5,1,0.673291238956153392792,7.29549574506542342078,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,5,2,0.66373491799458861351,7.43329759723565874907,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,5,3,0.663787703029811382294,7.48151412155799455661,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,5,4,0.66047635907307267189,7.46052602977574697007,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,5,5,0.667176574002951383591,7.43541053503650406498,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,5,6,0.652653941186144948006,7.57971508317492492779,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,5,7,0.656169544905424118042,7.55965329150152509641,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,5,8,0.669363138033077120781,7.49533628016994946108,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,5,9,0.662513260031118988991,7.48484093549325546491,13813.5015674373143577,13813.5015674373143577,0
cache_blocked_2,2000,6,0,0.653419710928574204445,7.52964752443396356796,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,6,1,0.638902746839448809624,7.68817068527769187369,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,6,2,0.649673423031345009804,7.59418347161254114752,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,6,3,0.667127956170588731766,7.4440548143723814789,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,6,4,0.642785049974918365479,7.66586134681950692737,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,6,5,0.653760429006069898605,7.58799631634640903144,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,6,6,0.655102479038760066032,7.55138482968477831037,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,6,7,0.654099592939019203186,7.58357643618010879294,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,6,8,0.645524872001260519028,7.77212781523611351275,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,6,9,0.64133385196328163147,7.73202031018302538001,13813.5015674373143577,13813.5015674373143728,1.09306341054720036914e-16
cache_blocked_2,2000,7,0,0.696266347076743841171,7.06629026300965268348,13813.5015674373143577,13813.5015674373143844,1.92893543037741241615e-16
