optimisation,block_size,elapsed_median,elapsed_mean,elapsed_std,speedup_median,speedup_mean,speedup_std,relative_difference_median,relative_difference_mean
blocked_vectorised,16,0.0345621250453405,0.03458760000066828,0.00010220556316570026,7.21343822355339,7.254867804406335,0.47855545486023854,0.0,0.0
blocked_vectorised,24,0.0367532079690136,0.036697625007946,0.00019536438988273366,6.781439692246442,6.8374619908486425,0.4464492844527233,0.0,0.0
blocked_vectorised,32,0.0381163329584524,0.038181466783862514,0.0002823107467744269,6.480586036931302,6.572369993083681,0.4397830923855269,0.0,0.0
blocked_vectorised,48,0.0437404160038568,0.04380489180330184,0.00011831979504808371,5.695249574381708,5.727909685733403,0.37023945020423676,0.0,0.0
blocked_vectorised,64,0.0456113329855725,0.0456140583963133,9.823710601162197e-05,5.481594991152257,5.501206012013213,0.364795295836141,0.0,0.0
cache_blocked,16,0.0436302080051973,0.04443524979287754,0.0026426880713806764,5.743601793852566,5.659391500915928,0.4411432680967176,0.0,0.0
cache_blocked,24,0.0476745839696377,0.047768000210635306,0.0003069352337550437,5.2620301525944,5.253684570820799,0.3561619579730018,0.0,0.0
cache_blocked,32,0.0528139999951235,0.05285394998500118,7.792451756824366e-05,4.740863523339976,4.747449183445896,0.31042773049413364,0.0,0.0
cache_blocked,48,0.0635437500313855,0.06525736681651317,0.003419958103616584,3.82934294141078,3.8532108199811623,0.3228154075040992,0.0,0.0
cache_blocked,64,0.0727364579797722,0.07279364139540118,0.0008374423075571494,3.444475567105036,3.4487328518851372,0.25351921805580885,0.0,0.0
