method,n,elapsed_median,elapsed_mean,elapsed_error
openmp_tile_parallel_blocked,1,8.2149927038699388504e-07,1.30870321299880734556e-06,1.27403655693298184946e-06
openmp_tile_parallel_blocked,201,0.000469741004053503274918,0.000474561596638523063886,1.48363040803499128274e-05
openmp_tile_parallel_blocked,401,0.00289108550350647419691,0.00288782619754783791838,1.84228929444303902139e-05
openmp_tile_parallel_blocked,601,0.00911059850477613508701,0.00911409130494575912829,6.92619378074599300645e-05
openmp_tile_parallel_blocked,801,0.0208282495004823431373,0.0208187142008682719851,0.000152378094780682106155
openmp_tile_parallel_blocked,1001,0.0395951029931893572211,0.0396428176958579583933,0.000236380838437664440302
openmp_tile_parallel_blocked,1201,0.0661028454924235120416,0.066047479797271074764,0.000210193430657051210427
openmp_tile_parallel_blocked,1401,0.102247415488818660378,0.102345149597385901008,0.000433194688143222499024
openmp_tile_parallel_blocked,1601,0.15196517399454023689,0.152077312301844347342,0.000561313039851620400669
openmp_tile_parallel_blocked,1801,0.220569277502363547683,0.220347216702066361904,0.000572412393395645168782
openmp_tile_parallel_blocked,2001,0.289787267989595420659,0.289761291598551906645,0.000678470339630445756773
openmp_tile_parallel_blocked,2201,0.376419613487087190151,0.376617377094225935785,0.00122517888355329774425
openmp_tile_parallel_blocked,2401,0.488751504497486166656,0.489123558500432431551,0.00181337025320591491498
openmp_tile_parallel_blocked,2601,0.618820386487641371787,0.61867153559578580424,0.00159589807937869946827
openmp_tile_parallel_blocked,2801,0.771630382500006817281,0.768275474300025962293,0.0103089862194225608677
openmp_tile_parallel_blocked,3001,0.928705294500105082989,0.929159675296978071479,0.00155929398332196270799
openmp_tile_parallel_blocked,3201,1.15464179801347199827,1.14135475499788308085,0.0257525281731978902822
openmp_tile_parallel_blocked,3401,1.30139519002113956958,1.29275375010329307557,0.0173452652810069489486
openmp_tile_parallel_blocked,3601,1.75572584998735692352,1.76008415160176800995,0.0106317469128452118249
openmp_tile_parallel_blocked,3801,1.74764632000005804002,1.75054492730123456568,0.0102075946335257183861
openmp_tile_parallel_blocked,4001,2.19704383700445760041,2.15966377290315003634,0.0665575681842879435246
openmp_tile_parallel_blocked,4201,2.56499657698441296816,2.56511053959548007697,0.00168824839335664353066
openmp_tile_parallel_blocked,4401,2.96396102149446960539,2.96419674479693640023,0.00649356295526519380207
openmp_tile_parallel_blocked,4601,3.9851633460057200864,3.98342216249729963451,0.00904034139884655509045
openmp_tile_parallel_blocked,4801,3.83774989348603412509,3.84036897299520196825,0.0117058507427640033638
