method,n,elapsed_median,elapsed_mean,elapsed_error
lower_triangle,1,4.848698154091835e-08,1.0059738997370005e-07,1.7678282707908718e-07
lower_triangle,201,0.0004527330020209,0.00045326349500095,7.573205390228224e-06
lower_triangle,401,0.0046039305016165,0.0045836534001864,0.00012911780572340438
lower_triangle,601,0.01584204898972525,0.01596604480000673,0.00027452919529222583
lower_triangle,801,0.0392045135085936,0.039225773693760804,0.0003877342372038495
lower_triangle,1001,0.0777013955084839,0.07771166440215886,0.00044030604258185743
lower_triangle,1201,0.1406557110167341,0.14104585359455082,0.0012934129362762187
lower_triangle,1401,0.22967196800163941,0.22957535430323323,0.0003102600477430584
lower_triangle,1601,0.3574709274980704,0.3575945113989291,0.0005082915710662241
lower_triangle,1801,0.5116777584917145,0.5116987647983479,0.00036558285237722694
lower_triangle,2001,0.7504869849944953,0.7513777398999082,0.0019346916719336113
lower_triangle,2201,0.9254229114885675,0.9257656303961994,0.001460799069308755
lower_triangle,2401,1.2394935305055697,1.2394363014085683,0.0009976957182960798
lower_triangle,2601,1.5475711065082578,1.5471265413041693,0.0019250558866917968
lower_triangle,2801,1.9557583440036979,1.9569053102022735,0.0057886340355478945
lower_triangle,3001,2.3925564589881105,2.3926730168954236,0.0052802604004773815
lower_triangle,3201,2.977797826999449,2.9830280306981876,0.027715416842692537
lower_triangle,3401,3.5465559324948117,3.551849355295417,0.025362787461930138
lower_triangle,3601,4.34056475298712,4.3457047572999725,0.01709697994461993
lower_triangle,3801,5.370908320997842,5.369929413692444,0.06676949771185592
lower_triangle,4001,6.528747624499374,6.533909268697608,0.03692437322280009
lower_triangle,4201,7.981510644996888,7.993633799796226,0.14293030528939193
lower_triangle,4401,9.46976428900962,9.481208503097879,0.07241661236763214
lower_triangle,4601,11.148269498487934,11.133055191297899,0.13512090425805243
lower_triangle,4801,13.261071089509642,13.286686270302743,0.13659016067702934
