method,n,elapsed_median,elapsed_mean,elapsed_error
openmp_block_row_parallel,1,7.399648893624544e-08,1.0409567039459943e-07,1.1177867146392538e-07
openmp_block_row_parallel,201,0.00047181650006675,0.00050883280346166,6.266083630787357e-05
openmp_block_row_parallel,401,0.00305423801182765,0.00309150309185491,5.8924676873081416e-05
openmp_block_row_parallel,601,0.0098343354911776,0.00985786519886457,6.190071095953431e-05
openmp_block_row_parallel,801,0.022543232000316403,0.022537685793940852,0.00013392459094684043
openmp_block_row_parallel,1001,0.04379923650412815,0.04378195120661979,0.0001306598165252706
openmp_block_row_parallel,1201,0.07227633550064635,0.07228450790280472,0.0003322076191368786
openmp_block_row_parallel,1401,0.1111811055016005,0.11118407799804113,0.000298315540759867
openmp_block_row_parallel,1601,0.16442473251663609,0.1642586016008863,0.0007266700005432007
openmp_block_row_parallel,1801,0.23494134050270074,0.2349897224019514,0.0008091948838098193
openmp_block_row_parallel,2001,0.31174855399876833,0.311254283398739,0.0017419783730104055
openmp_block_row_parallel,2201,0.3952802355051972,0.39525840750429775,0.0009399571888877915
openmp_block_row_parallel,2401,0.5178545409871731,0.5157851940050022,0.005264434870390011
openmp_block_row_parallel,2601,0.6533880659990245,0.6517080146033549,0.007526664931035658
openmp_block_row_parallel,2801,0.8131166250095703,0.8131402894010534,0.0022371640567541186
openmp_block_row_parallel,3001,0.9997540254844351,1.0459923627931857,0.14914752855765528
openmp_block_row_parallel,3201,1.2320371339883422,1.2316870806971565,0.0076106125369096115
openmp_block_row_parallel,3401,1.4529895869927714,1.453109179699095,0.0029417343569269404
openmp_block_row_parallel,3601,1.8780115404952085,1.8757945993973408,0.008027526742898685
openmp_block_row_parallel,3801,2.026326491002692,2.023025736998534,0.009878525127254834
openmp_block_row_parallel,4001,2.36331371300912,2.36258488590247,0.0052172701028183185
openmp_block_row_parallel,4201,2.726320447996841,2.720241113298107,0.019143096813541555
openmp_block_row_parallel,4401,3.1778711710067,3.174248600905412,0.008323509365800452
openmp_block_row_parallel,4601,3.9796100269886665,3.9762179078970803,0.013310244002454603
openmp_block_row_parallel,4801,4.068041755497688,4.067735750097199,0.012279101355407227
