method,n,threads,elapsed_median,elapsed_mean,elapsed_error
openmp_block_row_parallel,5000,1,4.241934818,4.239000796,0.007321132677608507
openmp_block_row_parallel,5000,2,3.240324807,3.2422433898,0.006842056400941122
openmp_block_row_parallel,5000,3,2.453612162,2.4570155853999998,0.00939931479067264
openmp_block_row_parallel,5000,4,1.966080406,1.9679517438,0.006373499214640259
openmp_block_row_parallel,5000,5,1.652036009,1.6532821108,0.006387883014124785
openmp_block_row_parallel,5000,6,1.429686764,1.4318816617999999,0.007313178145333013
openmp_block_row_parallel,5000,7,1.270245102,1.2735942214,0.007385256186901584
openmp_block_row_parallel,5000,8,1.143770308,1.145830386,0.007144814894824912
openmp_block_row_parallel,5000,9,1.050188448,1.0540514824,0.007024377601129923
openmp_block_row_parallel,5000,10,0.964643101,0.9642267376,0.004225355014804828
openmp_block_row_parallel,5000,11,0.898443437,0.8994313461999999,0.0018275514900614714
openmp_block_row_parallel,5000,12,0.84562151,0.8463351032,0.0032490983424600653
openmp_block_row_parallel,5000,13,0.79630379,0.7961850189999999,0.0017567570686378956
openmp_block_row_parallel,5000,14,0.749847044,0.750543711,0.002397982793713094
openmp_block_row_parallel,5000,15,0.716528186,0.7168862078,0.002570109888093746
openmp_block_row_parallel,5000,16,0.682561361,0.6832396208,0.002332913038048726
openmp_block_row_parallel,5000,17,0.657224574,0.6574524678,0.00240038578696315
openmp_block_row_parallel,5000,18,0.633806035,0.6337049912,0.0013411252918473467
openmp_block_row_parallel,5000,19,0.610013201,0.6095898126,0.0019362922061423034
openmp_block_row_parallel,5000,20,0.586755763,0.5877730562,0.0019293941862100817
openmp_block_row_parallel,5000,21,0.576949232,0.5770530638,0.0014983446021509137
openmp_block_row_parallel,5000,22,0.553773105,0.554328315,0.001752060748571383
openmp_block_row_parallel,5000,23,0.540487837,0.5409783402,0.0026151447642165423
openmp_block_row_parallel,5000,24,0.535817034,0.5359291096,0.0032887408344682823
openmp_block_row_parallel,5000,25,0.513794367,0.5141001266,0.0027706416655867436
openmp_block_row_parallel,5000,26,0.500691917,0.5014079244,0.0024893271602456964
openmp_block_row_parallel,5000,27,0.491471957,0.4913266594,0.0032642348821964877
openmp_block_row_parallel,5000,28,0.483254033,0.4816568308,0.00251788678712165
openmp_block_row_parallel,5000,29,0.475075317,0.4748479892,0.001898747372063141
openmp_block_row_parallel,5000,30,0.463119517,0.4633492612,0.0023237619573555053
openmp_block_row_parallel,5000,31,0.454087489,0.4533034832,0.0019514151634676912
openmp_block_row_parallel,5000,32,0.443848728,0.4438805384,0.002395344689901092
openmp_block_row_parallel,5000,33,0.441825625,0.43997340119999995,0.003421770318597564
openmp_block_row_parallel,5000,34,0.4355516,0.4356071524,0.0009368172935008749
openmp_block_row_parallel,5000,35,0.429388689,0.42968104220000003,0.0019186306752929725
openmp_block_row_parallel,5000,36,0.429099239,0.4290902616,0.00235869174993962
openmp_block_row_parallel,5000,37,0.424315081,0.42374063900000003,0.0017475103605854377
openmp_block_row_parallel,5000,38,0.416263955,0.4166353436,0.003590953480926175
openmp_block_row_parallel,5000,39,0.408251622,0.4086127454,0.0018867385938374655
openmp_block_row_parallel,5000,40,0.40581537,0.40676911899999996,0.0022733094157105973
openmp_block_row_parallel,5000,41,0.404886185,0.4048464366,0.000929775092573632
openmp_block_row_parallel,5000,42,0.39930123,0.3992814698,0.0014001293085771464
openmp_block_row_parallel,5000,43,0.395971049,0.395806918,0.002323214910715645
openmp_block_row_parallel,5000,44,0.394190217,0.394112552,0.0012731149551075457
openmp_block_row_parallel,5000,45,0.390745639,0.3903128748,0.0015229296916895948
openmp_block_row_parallel,5000,46,0.38416814,0.3848966128,0.0015869665993706757
openmp_block_row_parallel,5000,47,0.382598112,0.3825179024,0.002441413145218812
openmp_block_row_parallel,5000,48,0.379766688,0.3798321112,0.0012811021673881842
openmp_block_row_parallel,5000,49,0.37332995,0.37298077960000003,0.001284921073344501
openmp_block_row_parallel,5000,50,0.372080496,0.371803891,0.0021813417266768253
openmp_block_row_parallel,5000,51,0.365977054,0.3667932918,0.002505274355458339
openmp_block_row_parallel,5000,52,0.363233739,0.3634798184,0.0009615392941002506
openmp_block_row_parallel,5000,53,0.362192104,0.3622318986,0.0007257654938796174
openmp_block_row_parallel,5000,54,0.360971485,0.3603543124,0.0014722776297729349
openmp_block_row_parallel,5000,55,0.361055169,0.360630648,0.00101073448370206
openmp_block_row_parallel,5000,56,0.359288114,0.3596412792,0.0018498421401910963
openmp_block_row_parallel,5000,57,0.358559858,0.35877132899999997,0.0010823164995988801
