optimisation,n,block_size,elapsed_median,elapsed_mean,elapsed_error
cache_blocked_1,2000,1,3.82134955099900253117,3.82074114799858444158,0.00846463844600047095323
cache_blocked_1,2000,2,1.47361258599994471297,1.47537966900078276744,0.00535199117723347220915
cache_blocked_1,2000,3,1.11952549499983433634,1.1177093786682235077,0.00277886626409944723429
cache_blocked_1,2000,4,1.00797919500473653898,1.00776832333212951198,0.000865664283196962013218
cache_blocked_1,2000,5,0.945855919002497103065,0.945116774666530545801,0.00198931728076865441471
cache_blocked_1,2000,6,0.96916767700167838484,0.968745895666264345003,0.00124412667409773392523
cache_blocked_1,2000,7,1.10734890999447088689,1.09970900133096916029,0.0119241670066691507479
cache_blocked_1,2000,8,0.918289319997711572796,0.925312073331345685823,0.0332020885230099246921
cache_blocked_1,2000,9,0.87228435299766715616,0.885093938668433111161,0.0188659516692061095255
cache_blocked_1,2000,10,0.847619904998282436281,0.849512017666711471975,0.00544034223128488612919
cache_blocked_1,2000,11,0.840335403001517988741,0.839945071667898446321,0.00153952881111910663652
cache_blocked_1,2000,12,0.830769471001985948533,0.831368645332986488938,0.00338035922437853473058
cache_blocked_1,2000,13,0.829599634998885449022,0.829808391664604072524,0.000676701430209701560413
cache_blocked_1,2000,14,0.816986858997552189976,0.818187581334010816114,0.00353539860151637049326
cache_blocked_1,2000,15,0.844272244998137466609,0.844565568668864785629,0.000496300339856170199052
cache_blocked_1,2000,16,0.832826184996520169079,0.833648058665858116001,0.00164579314596389938291
cache_blocked_1,2000,17,0.827587291998497676104,0.827841332999620704847,0.00080612088089974432998
cache_blocked_1,2000,18,0.821209376998012885451,0.821137157331880529476,0.000829283772961591212659
cache_blocked_1,2000,19,0.814344149002863559872,0.814812627002538647503,0.00154804384035073694555
cache_blocked_1,2000,20,0.817908202996477484703,0.816206734331596295284,0.00500427603011962488649
cache_blocked_1,2000,21,0.813927246999810449779,0.814295198998782665534,0.00071259829796960856476
cache_blocked_1,2000,22,0.808495226003287825733,0.808321608669454350071,0.000412185591146844282871
cache_blocked_1,2000,23,0.805409542001143563539,0.805112087669840548187,0.000904463816098639828388
cache_blocked_1,2000,24,0.798635417995683383197,0.799063288330216892064,0.00174728192348630310439
cache_blocked_1,2000,25,0.797274696000386029482,0.797166514998631670075,0.000352193154815596588553
cache_blocked_1,2000,26,0.793823009000334423035,0.794663605668271544324,0.00162722227023938664087
cache_blocked_1,2000,27,0.789079775000573135912,0.790230779331371535612,0.00252470430462371992278
cache_blocked_1,2000,28,0.792682295003032777458,0.789552957333702010168,0.00516312656641951597813
cache_blocked_1,2000,29,0.794859592999273445457,0.793483137334987986833,0.00272066539690558233458
cache_blocked_1,2000,30,0.808415043997229076922,0.824358587332729597641,0.025769947476085582061
cache_blocked_1,2000,31,0.813151251000817865133,0.813338368335583594693,0.000651448857598495799891
cache_blocked_1,2000,32,0.816351178997138049453,0.818325554998106441396,0.00299460163452522571195
cache_blocked_1,2000,33,0.820128457999089732766,0.82032283366667491098,0.00104036435508506009892
cache_blocked_1,2000,34,0.822920642000099178404,0.823046762331311243521,0.00240437161013590163655
cache_blocked_1,2000,35,0.830061360997206065804,0.829416841334023047239,0.00236631188909601540907
cache_blocked_1,2000,36,0.834707404996152035892,0.834455937663733493537,0.000615164700597052452671
cache_blocked_1,2000,37,0.839671504996658768505,0.840359195666678715497,0.00299673913179348714794
cache_blocked_1,2000,38,0.85514472500653937459,0.855088490337948314846,0.00059749532697821628336
cache_blocked_1,2000,39,0.868399760001921094954,0.87113229599829844485,0.00506855927376731810186
