optimisation,n,block_size,elapsed_median,elapsed_mean,elapsed_error
cache_blocked_2,2000,1,3.72803742399264592677,3.72998021132661961019,0.00281614233703636951053
cache_blocked_2,2000,2,1.52344960300251841545,1.52368965399606781652,0.00130229473265582582943
cache_blocked_2,2000,3,1.13830484000209253281,1.13838194066192954779,0.000148860487186489861633
cache_blocked_2,2000,4,0.649435558007098734379,0.649544830666854977608,0.000171940436019325608701
cache_blocked_2,2000,5,0.631478362003690563142,0.631356726667339329673,0.00022333648880411909282
cache_blocked_2,2000,6,0.643466085995896719396,0.643402908996601241576,0.000193544930121113676388
cache_blocked_2,2000,7,0.647787865003920160234,0.647901289334792296337,0.000216286048884483723303
cache_blocked_2,2000,8,0.536612224997952580452,0.53663399866976158048,0.00013933961447116304075
cache_blocked_2,2000,9,0.557626845999038778245,0.557555456670039917277,0.000170150731802897240384
cache_blocked_2,2000,10,0.563453609996940940619,0.563454145667492412031,3.23742646419466678968e-05
cache_blocked_2,2000,11,0.568044733998249284923,0.568065613338452179981,4.07122883957130985875e-05
cache_blocked_2,2000,12,0.524794814002234488726,0.524753665333264507353,7.21887545035372108935e-05
cache_blocked_2,2000,13,0.528075648995582014322,0.529285416332034741593,0.00177429199551076594195
cache_blocked_2,2000,14,0.538290327007416635752,0.538274870336560185002,6.5214952938683586124e-05
cache_blocked_2,2000,15,0.556243340004584752023,0.556241145003392944979,2.8204931764132097719e-05
cache_blocked_2,2000,16,0.531265511002857238054,0.531245189335701639699,5.77413035268451864629e-05
cache_blocked_2,2000,17,0.534249208998517133296,0.534317604998553519202,0.000110518012455093164758
cache_blocked_2,2000,18,0.547488190000876784325,0.547491863006143830717,2.41373773174868077392e-05
cache_blocked_2,2000,19,0.559715205003158189356,0.559738073333088892447,3.54909066499100090178e-05
cache_blocked_2,2000,20,0.538591144999372772872,0.537693979000323452055,0.00144735243116296086012
cache_blocked_2,2000,21,0.54180100400117225945,0.541773016001873997105,5.28437730782525458533e-05
cache_blocked_2,2000,22,0.553445036988705396652,0.55340567099240922655,8.27519148346888866767e-05
cache_blocked_2,2000,23,0.566834081997512839735,0.567197190001024864614,0.000579866634677867506635
cache_blocked_2,2000,24,0.546098371996777132154,0.546096739669640895976,1.4452839354994411768e-05
cache_blocked_2,2000,25,0.549696757007041014731,0.549702022331378770126,1.50860177092318581524e-05
cache_blocked_2,2000,26,0.559656159995938651264,0.559668414333524766313,2.24467029157163538088e-05
cache_blocked_2,2000,27,0.574059610997210256755,0.574147322326704512285,0.000157173856400760400803
cache_blocked_2,2000,28,0.552659433000371791422,0.552639152330812066793,4.10667492296737206281e-05
cache_blocked_2,2000,29,0.556099719993653707206,0.554469229328484858321,0.00238899380579704525424
cache_blocked_2,2000,30,0.566757713007973507047,0.567953276001693097008,0.00174108165092193832059
cache_blocked_2,2000,31,0.577751466000336222351,0.577778915666082526492,7.13331386153320248442e-05
cache_blocked_2,2000,32,0.560541900005773641169,0.560543262331824165834,2.75943975730005632853e-05
cache_blocked_2,2000,33,0.566911044996231794357,0.566912721997747781622,4.44406109245532874371e-06
